Player,Position,Team,Goals,Assists,Points,PlusMinus,PIM
Patrick Kane,Forward,CHI,46,60,106,17,30
Jamie Benn,Forward,DAL,41,48,89,7,64
Sidney Crosby,Forward,PIT,36,49,85,19,42
Joe Thornton,Forward,SJS,19,63,82,25,54
Erik Karlsson,Defense,OTT,16,66,82,-2,50
Joe Pavelski,Forward,SJS,38,40,78,25,30
John Gaudreau,Forward,CGY,30,48,78,4,20
Blake Wheeler,Forward,WPG,26,52,78,8,49
Artemi Panarin,Forward,CHI,30,47,77,8,32
Evgeny Kuznetsov,Forward,WSH,20,57,77,27,32
Brent Burns,Defense,SJS,27,48,75,-5,53
Vladimir Tarasenko,Forward,STL,40,34,74,7,37
Anze Kopitar,Forward,LAK,25,49,74,34,16
Tyler Seguin,Forward,DAL,33,40,73,2,16
Alex Ovechkin,Forward,WSH,50,21,71,21,53
John Tavares,Forward,NYI,33,37,70,6,38
Nicklas Backstrom,Forward,WSH,20,50,70,17,36
Patrice Bergeron,Forward,BOS,32,36,68,12,49
Claude Giroux,Forward,PHI,22,45,67,-8,53
Kris Letang,Defense,PIT,16,51,67,9,66
Nikita Kucherov,Forward,TBL,30,36,66,9,30
Jaromir Jagr,Forward,FLA,27,39,66,23,48
Taylor Hall,Forward,EDM,26,39,65,-4,54
Steven Stamkos,Forward,TBL,36,28,64,3,38
Filip Forsberg,Forward,NSH,33,31,64,1,47
Max Pacioretty,Forward,MTL,30,34,64,-10,34
Kyle Okposo,Forward,NYI,22,42,64,-4,51
Jason Spezza,Forward,DAL,33,30,63,4,22
Loui Eriksson,Forward,BOS,30,33,63,13,12
Sean Monahan,Forward,CGY,27,36,63,-6,18
David Krejci,Forward,BOS,17,46,63,4,32
Ryan Getzlaf,Forward,ANA,13,50,63,14,55
Corey Perry,Forward,ANA,34,28,62,2,68
Jeff Carter,Forward,LAK,24,38,62,18,20
Brad Marchand,Forward,BOS,37,24,61,21,90
Mark Scheifele,Forward,WPG,29,32,61,16,48
Daniel Sedin,Forward,VAN,28,33,61,7,36
Mats Zuccarello,Forward,NYR,26,35,61,2,34
Mark Stone,Forward,OTT,23,38,61,-4,38
Roman Josi,Defense,NSH,14,47,61,-3,43
Wayne Simmonds,Forward,PHI,32,28,60,-7,147
Ryan O'Reilly,Forward,BUF,21,39,60,-16,8
Jussi Jokinen,Forward,FLA,18,42,60,25,42
Ryan Johansen,Forward,TOT,14,46,60,6,61
Matt Duchene,Forward,COL,30,29,59,-8,24
Mike Hoffman,Forward,OTT,29,30,59,1,18
Aleksander Barkov,Forward,FLA,28,31,59,18,8
Phil Kessel,Forward,PIT,26,33,59,9,18
Brayden Schenn,Forward,PHI,26,33,59,3,33
Jonathan Huberdeau,Forward,FLA,20,39,59,17,43
James Neal,Forward,NSH,31,27,58,27,65
Tyler Toffoli,Forward,LAK,31,27,58,35,20
Jonathan Toews,Forward,CHI,28,30,58,16,62
Derick Brassard,Forward,NYR,27,31,58,12,30
Evgeni Malkin,Forward,PIT,27,31,58,1,65
John Klingberg,Defense,DAL,10,48,58,22,30
Kyle Palmieri,Forward,NJD,30,27,57,3,39
Alex Galchenyuk,Forward,MTL,30,26,56,-8,20
Jack Eichel,Forward,BUF,24,32,56,-16,22
Bobby Ryan,Forward,OTT,22,34,56,-9,28
Mark Giordano,Defense,CGY,21,35,56,-5,54
Mikko Koivu,Forward,MIN,17,39,56,6,40
Oliver Ekman-Larsson,Defense,ARI,21,34,55,-6,96
Milan Lucic,Forward,LAK,20,35,55,26,79
Patrick Sharp,Forward,DAL,20,35,55,-3,27
Henrik Sedin,Forward,VAN,11,44,55,0,24
Jakub Voracek,Forward,PHI,11,44,55,-5,38
Tomas Plekanec,Forward,MTL,14,40,54,4,36
Brandon Saad,Forward,CBJ,31,22,53,1,14
Cam Atkinson,Forward,CBJ,27,26,53,-8,22
Zach Parise,Forward,MIN,25,28,53,-3,36
Vincent Trocheck,Forward,FLA,25,28,53,15,44
